Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-1,1001E-06","-2,599E-08","0,0058759",0,0,0,"1,21","0,011177","-7,4313E-08","-1,2107E-13","0,011689","-8,7273E-11","0,022837",0,0,0,0,0,0,package://Horst900_Attemp2/meshes/base_link.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://Horst900_Attemp2/meshes/base_link.STL,,1-1,KoordinatensystemBase,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,"0,0007028","0,15394","-0,0031395",0,0,0,"0,06735","1,3452E-05","2,57E-10","6,9854E-22","2,558E-05","8,8646E-22","1,3706E-05",0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link1.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link1.STL,,2-1,Origin_joint1,Achse1,joint1,revolute,0,0,"0,0565","1,5708",0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
link2,"-0,029492","-0,0027479","2,4951E-05",0,0,0,"0,22367","0,00056209","-0,00045945","-7,5228E-12","0,00056962","-1,4504E-11","0,0011293",0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link2.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link2.STL,,3-1,Origin_joint2,Achse2,joint2,revolute,"0,05675","0,28257",0,0,0,0,link1,0,0,1,0,0,0,0,,,,,,,,
link3,"-2,4854E-05","0,036079","-0,015293",0,0,0,"0,25309","0,00057293","-1,7292E-10","-6,921E-10","0,00051593","-1,8197E-05","8,4556E-05",0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link3.STL,0,"0,54902","0,70588",1,0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link3.STL,,4-1,Origin_joint3,Achse3,joint3,revolute,"6,7742E-05","0,407",0,0,"1,5708",0,link2,1,0,0,0,0,0,0,,,,,,,,
link4,"-0,19659","-0,0035332","3,5047E-05",0,0,0,"0,038503","6,2907E-05","-2,0171E-05","-3,1267E-08","0,00024462","-7,0774E-09","0,00022597",0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link4.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link4.STL,,5-1,Origin_joint4,Achse4,joint4,revolute,"-2,4956E-05","0,03648","0,12703",0,"1,5708",0,link3,1,0,0,0,0,0,0,,,,,,,,
link5,"-0,014949","-0,00019999","-0,024498",0,0,0,"0,025507","2,1268E-05","1,4476E-11","-2,7343E-07","1,9292E-05","4,8717E-11","1,2407E-05",0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link5.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link5.STL,,6-1,Origin_joint5,Achse5,joint5,revolute,"-0,308",0,0,"-1,5708",0,"3,1416",link4,0,1,0,0,0,0,0,,,,,,,,
link6,"0,46804","-6,2595E-05","0,59277",0,0,0,"1,8181","0,17075","-3,9322E-07","-0,023792","0,18483","3,8068E-05","0,038533",0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link6.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://Horst900_Attemp2/meshes/link6.STL,,7-1,Origin_joint6,Achse6,joint6,revolute,"0,0001","-0,0002",0,0,0,"3,1416",link5,0,0,-1,0,0,0,0,,,,,,,,
